source_xml,area,source_name,dataset_name,valid_images,points,observations,gcps,checkpoints,gcp_observations,photogroups,source_software_vendor,source_software
C:\zuo\Projects\ABS\2050073179065417729\ABS_AT\AT.xml,abs,2050073179065417729,abs-problem-i370-p24349-o103103-g9-c0,370,24349,103103,9,0,101,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\ABS\2053711927326015489\ABS_AT\AT.xml,abs,2053711927326015489,abs-problem-i191-p11530-o63401-g10-c0,191,11530,63401,10,0,71,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\ABS\2054373030460653569\ABS_AT\AT.xml,abs,2054373030460653569,abs-problem-i151-p7875-o57925-g7-c0,151,7875,57925,7,0,79,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\ABS\2054814971488894977\ABS_AT\AT.xml,abs,2054814971488894977,abs-problem-i192-p12246-o97763-g5-c0,192,12246,97763,5,0,25,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\ABS\2055248843389272065\ABS_AT\AT.xml,abs,2055248843389272065,abs-problem-i228-p11014-o113784-g4-c0,228,11014,113784,4,0,68,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\ABS\2055263294209392641\ABS_AT\AT.xml,abs,2055263294209392641,abs-problem-i619-p25234-o327845-g2-c0,619,25234,327845,2,0,53,3,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\ABS\2055513851314569217\ABS_AT\AT.xml,abs,2055513851314569217,abs-problem-i1426-p60838-o419436-g1-c0,1426,60838,419436,1,0,6,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\ABS\2057050720821051393\ABS_AT\AT.xml,abs,2057050720821051393,abs-problem-i1556-p78675-o597034-g6-c2,1556,78675,597034,6,2,31,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\ABS\2057410593882636289\ABS_AT\AT.xml,abs,2057410593882636289,abs-problem-i192-p12197-o67669-g10-c0,192,12197,67669,10,0,97,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\ABS\2058477820958474241\ABS_AT\AT.xml,abs,2058477820958474241,abs-problem-i1556-p79033-o597820-g8-c0,1556,79033,597820,8,0,40,4,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\ABS\2060914217493463041\ABS_AT\AT.xml,abs,2060914217493463041,abs-problem-i506-p40111-o140359-g4-c0,506,40111,140359,4,0,33,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\ABS\2060944709546672129\ABS_AT\AT.xml,abs,2060944709546672129,abs-problem-i507-p40315-o139534-g3-c0,507,40315,139534,3,0,22,1,武汉大势智慧科技有限公司,云端地球
