source_dir,area,source_name,dataset_name,valid_images,points,observations,gcps,checkpoints,gcp_observations,cameras,photogroups,camera_models,source_format,source_software,image_index,source_image_ids_contiguous,source_bytes
C:\zuo\Projects\BA\Colmap_Output\CloseRange\AvignonHotelDesMonnaies,ba-colmap,CloseRange/AvignonHotelDesMonnaies,ba-colmap-problem-i11-p9611-o34292-g0-c0,11,9611,34292,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,5226008
C:\zuo\Projects\BA\Colmap_Output\CloseRange\BurgosPuertaDeLaCoroneria,ba-colmap,CloseRange/BurgosPuertaDeLaCoroneria,ba-colmap-problem-i10-p6935-o25876-g0-c0,10,6935,25876,0,0,0,6,6,OPENCV,COLMAP text,COLMAP,row,1,4490639
C:\zuo\Projects\BA\Colmap_Output\CloseRange\CognacGardenBuilding,ba-colmap,CloseRange/CognacGardenBuilding,ba-colmap-problem-i12-p8091-o35213-g0-c0,12,8091,35213,0,0,0,3,3,OPENCV,COLMAP text,COLMAP,row,1,6180556
C:\zuo\Projects\BA\Colmap_Output\CloseRange\CognacStJacquesDoor,ba-colmap,CloseRange/CognacStJacquesDoor,ba-colmap-problem-i20-p19344-o94945-g0-c0,20,19344,94945,0,0,0,10,10,OPENCV,COLMAP text,COLMAP,row,1,10730827
C:\zuo\Projects\BA\Colmap_Output\CloseRange\EchillaisChurch,ba-colmap,CloseRange/EchillaisChurch,ba-colmap-problem-i263-p244505-o1139847-g0-c0,263,244505,1139847,0,0,0,37,37,OPENCV,COLMAP text,COLMAP,row,1,141806015
C:\zuo\Projects\BA\Colmap_Output\CloseRange\MirebeauStHilaireStatue,ba-colmap,CloseRange/MirebeauStHilaireStatue,ba-colmap-problem-i22-p16479-o82523-g0-c0,22,16479,82523,0,0,0,8,8,OPENCV,COLMAP text,COLMAP,row,1,11296936
C:\zuo\Projects\BA\Colmap_Output\CloseRange\MuratoCorsicaChurch,ba-colmap,CloseRange/MuratoCorsicaChurch,ba-colmap-problem-i28-p15121-o77244-g0-c0,28,15121,77244,0,0,0,16,16,OPENCV,COLMAP text,COLMAP,row,0,13546173
C:\zuo\Projects\BA\Colmap_Output\CloseRange\Palm_Desert_Micro,ba-colmap,CloseRange/Palm_Desert_Micro,ba-colmap-problem-i21-p13388-o50356-g0-c0,21,13388,50356,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,10401859
C:\zuo\Projects\BA\Colmap_Output\CloseRange\PoitiersCathedralMainEntranceDoor,ba-colmap,CloseRange/PoitiersCathedralMainEntranceDoor,ba-colmap-problem-i33-p26645-o130296-g0-c0,33,26645,130296,0,0,0,18,18,OPENCV,COLMAP text,COLMAP,row,1,17008950
C:\zuo\Projects\BA\Colmap_Output\CloseRange\SceauxCastle,ba-colmap,CloseRange/SceauxCastle,ba-colmap-problem-i11-p7919-o37954-g0-c0,11,7919,37954,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,5481689
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut1\Back,ba-colmap,FiveLens/tyut1/Back,ba-colmap-problem-i197-p173367-o717141-g0-c0,197,173367,717141,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,100580989
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut1\Down,ba-colmap,FiveLens/tyut1/Down,ba-colmap-problem-i202-p164633-o627398-g0-c0,202,164633,627398,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,98968711
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut1\five,ba-colmap,FiveLens/tyut1/five,ba-colmap-problem-i1010-p768771-o3614067-g0-c0,1010,768771,3614067,0,0,0,5,5,OPENCV,COLMAP text,COLMAP,row,1,503796657
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut1\Front,ba-colmap,FiveLens/tyut1/Front,ba-colmap-problem-i198-p141417-o522117-g0-c0,198,141417,522117,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,95651201
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut1\Left,ba-colmap,FiveLens/tyut1/Left,ba-colmap-problem-i98-p84225-o323440-g0-c0,98,84225,323440,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,47717001
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut1\Right,ba-colmap,FiveLens/tyut1/Right,ba-colmap-problem-i197-p140430-o545447-g0-c0,197,140430,545447,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,95826690
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut2\Back,ba-colmap,FiveLens/tyut2/Back,ba-colmap-problem-i242-p193604-o786158-g0-c0,242,193604,786158,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,122511518
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut2\Down,ba-colmap,FiveLens/tyut2/Down,ba-colmap-problem-i247-p174504-o634249-g0-c0,247,174504,634249,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,119001853
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut2\five,ba-colmap,FiveLens/tyut2/five,ba-colmap-problem-i1234-p864342-o3983139-g0-c0,1234,864342,3983139,0,0,0,5,5,OPENCV,COLMAP text,COLMAP,row,0,609552504
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut2\Front,ba-colmap,FiveLens/tyut2/Front,ba-colmap-problem-i242-p162338-o593589-g0-c0,242,162338,593589,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,117243712
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut2\Left,ba-colmap,FiveLens/tyut2/Left,ba-colmap-problem-i240-p160099-o601890-g0-c0,240,160099,601890,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,114052405
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut2\Right,ba-colmap,FiveLens/tyut2/Right,ba-colmap-problem-i243-p156835-o578681-g0-c0,243,156835,578681,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,114186011
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut3\Back,ba-colmap,FiveLens/tyut3/Back,ba-colmap-problem-i66-p56437-o241704-g0-c0,66,56437,241704,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,32309499
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut3\Down,ba-colmap,FiveLens/tyut3/Down,ba-colmap-problem-i67-p46514-o164832-g0-c0,67,46514,164832,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,31389263
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut3\five,ba-colmap,FiveLens/tyut3/five,ba-colmap-problem-i334-p232937-o1001660-g0-c0,334,232937,1001660,0,0,0,5,5,OPENCV,COLMAP text,COLMAP,row,0,161032160
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut3\Front,ba-colmap,FiveLens/tyut3/Front,ba-colmap-problem-i66-p45939-o163829-g0-c0,66,45939,163829,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,31422339
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut3\Left,ba-colmap,FiveLens/tyut3/Left,ba-colmap-problem-i35-p24704-o91831-g0-c0,35,24704,91831,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,16814672
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut3\Right,ba-colmap,FiveLens/tyut3/Right,ba-colmap-problem-i36-p20326-o73308-g0-c0,36,20326,73308,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,16165505
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut4\Back,ba-colmap,FiveLens/tyut4/Back,ba-colmap-problem-i92-p73986-o345304-g0-c0,92,73986,345304,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,44849674
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut4\Down,ba-colmap,FiveLens/tyut4/Down,ba-colmap-problem-i94-p62413-o234926-g0-c0,94,62413,234926,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,45143189
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut4\five,ba-colmap,FiveLens/tyut4/five,ba-colmap-problem-i470-p326766-o1544414-g0-c0,470,326766,1544414,0,0,0,5,5,OPENCV,COLMAP text,COLMAP,row,1,230016360
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut4\Front,ba-colmap,FiveLens/tyut4/Front,ba-colmap-problem-i91-p52639-o185542-g0-c0,91,52639,185542,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,42186525
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut4\Left,ba-colmap,FiveLens/tyut4/Left,ba-colmap-problem-i62-p41119-o153764-g0-c0,62,41119,153764,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,29935887
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut4\Right,ba-colmap,FiveLens/tyut4/Right,ba-colmap-problem-i60-p40439-o166777-g0-c0,60,40439,166777,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,28174970
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut5\Back,ba-colmap,FiveLens/tyut5/Back,ba-colmap-problem-i152-p116407-o507926-g0-c0,152,116407,507926,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,74173105
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut5\Down,ba-colmap,FiveLens/tyut5/Down,ba-colmap-problem-i155-p104827-o405841-g0-c0,155,104827,405841,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,74655987
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut5\five,ba-colmap,FiveLens/tyut5/five,ba-colmap-problem-i774-p500737-o2541021-g0-c0,774,500737,2541021,0,0,0,5,5,OPENCV,COLMAP text,COLMAP,row,0,375145238
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut5\Front,ba-colmap,FiveLens/tyut5/Front,ba-colmap-problem-i153-p84671-o318506-g0-c0,153,84671,318506,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,68458944
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut5\Left,ba-colmap,FiveLens/tyut5/Left,ba-colmap-problem-i150-p98166-o396386-g0-c0,150,98166,396386,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,72071921
C:\zuo\Projects\BA\Colmap_Output\FiveLens\tyut5\Right,ba-colmap,FiveLens/tyut5/Right,ba-colmap-problem-i151-p91757-o369442-g0-c0,151,91757,369442,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,70999836
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0002_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0002_extract,ba-colmap-problem-i83-p48102-o330263-g0-c0,83,48102,330263,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,34919410
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0005_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0005_extract,ba-colmap-problem-i160-p58177-o478892-g0-c0,160,58177,478892,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,53068647
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0009_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0009_extract,ba-colmap-problem-i401-p152072-o1219050-g0-c0,401,152072,1219050,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,132810195
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0011_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0011_extract,ba-colmap-problem-i161-p61484-o603643-g0-c0,161,61484,603643,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,63644266
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0013_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0013_extract,ba-colmap-problem-i150-p70567-o453483-g0-c0,150,70567,453483,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,68859528
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0014_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0014_extract,ba-colmap-problem-i320-p123204-o881099-g0-c0,320,123204,881099,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,107179187
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0019_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0019_extract,ba-colmap-problem-i438-p219869-o1569901-g0-c0,438,219869,1569901,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,201376657
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0020_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0020_extract,ba-colmap-problem-i92-p19512-o244669-g0-c0,92,19512,244669,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,27220807
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0048_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0048_extract,ba-colmap-problem-i28-p9501-o62985-g0-c0,28,9501,62985,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,6781298
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0051_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0051_extract,ba-colmap-problem-i281-p82959-o654163-g0-c0,281,82959,654163,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,76525654
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0056_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0056_extract,ba-colmap-problem-i300-p119380-o767372-g0-c0,300,119380,767372,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,103337401
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0059_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0059_extract,ba-colmap-problem-i344-p140183-o1263254-g0-c0,344,140183,1263254,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,125253378
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0084_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0084_extract,ba-colmap-problem-i328-p125530-o1154337-g0-c0,328,125530,1154337,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,114515506
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0091_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0091_extract,ba-colmap-problem-i346-p127811-o1037270-g0-c0,346,127811,1037270,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,105780125
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0093_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0093_extract,ba-colmap-problem-i439-p134932-o1149785-g0-c0,439,134932,1149785,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,108063539
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0095_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0095_extract,ba-colmap-problem-i274-p117614-o841526-g0-c0,274,117614,841526,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,85103701
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0096_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0096_extract,ba-colmap-problem-i481-p157299-o1314967-g0-c0,481,157299,1314967,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,169902515
