source_xml,area,source_name,dataset_name,valid_images,points,observations,gcps,checkpoints,gcp_observations,photogroups
C:\zuo\Projects\含控制点空三\十堰\一批自由网已修改-AbsAT(3)-ok.xml,shiyan,一批自由网已修改-AbsAT(3)-ok,shiyan-problem-i35193-p2241881-o12946317-g217-c9,35193,2241881,12946317,217,9,4377,40
C:\zuo\Projects\含控制点空三\十堰\三批自由网已修改-AbsAT(14)-ok.xml,shiyan,三批自由网已修改-AbsAT(14)-ok,shiyan-problem-i53365-p3124892-o17308243-g381-c3,53365,3124892,17308243,381,3,7940,115
C:\zuo\Projects\含控制点空三\十堰\二批自由网已修改-AbsAT(9)-ok.xml,shiyan,二批自由网已修改-AbsAT(9)-ok,shiyan-problem-i38568-p2585276-o12883788-g162-c2,38568,2585276,12883788,162,2,3246,40
C:\zuo\Projects\含控制点空三\十堰\四批-1自由网已修改-AbsAT-ok.xml,shiyan,四批-1自由网已修改-AbsAT-ok,shiyan-problem-i55810-p3831758-o17895077-g402-c0,55810,3831758,17895077,402,0,7692,65
C:\zuo\Projects\含控制点空三\十堰\四批-2自由网已修改-AbsAT(3)-ok.xml,shiyan,四批-2自由网已修改-AbsAT(3)-ok,shiyan-problem-i13971-p1037718-o4664842-g83-c1,13971,1037718,4664842,83,1,1604,15
C:\zuo\Projects\含控制点空三\十堰\山顶1-AbsAT-ok.xml,shiyan,山顶1-AbsAT-ok,shiyan-problem-i2823-p188150-o1073331-g23-c0,2823,188150,1073331,23,0,325,5
C:\zuo\Projects\含控制点空三\十堰\山顶2-AbsAT-ok.xml,shiyan,山顶2-AbsAT-ok,shiyan-problem-i1928-p155832-o541435-g12-c1,1928,155832,541435,12,1,187,5
C:\zuo\Projects\含控制点空三\新疆昌吉\1分区-Split-AT-AbsAT(4)补P0536.xml,changji,1分区-Split-AT-AbsAT(4)补P0536,changji-problem-i137798-p5744502-o84090156-g127-c0,137798,5744502,84090156,127,0,2728,500
C:\zuo\Projects\含控制点空三\新疆昌吉\2区.xml,changji,2区,changji-problem-i182069-p9631392-o92888808-g205-c0,182069,9631392,92888808,205,0,6398,940
C:\zuo\Projects\含控制点空三\新疆昌吉\4-AbsAT(3)-ok.xml,changji,4-AbsAT(3)-ok,changji-problem-i195381-p9593367-o111434909-g197-c0,195381,9593367,111434909,197,0,6126,670
C:\zuo\Projects\含控制点空三\飞测公路\0218-3-ATok-AbsATok.xml,feice-road,0218-3-ATok-AbsATok,feice-road-problem-i81884-p3245255-o43426302-g15-c2,81884,3245255,43426302,15,2,444,48
C:\zuo\Projects\含控制点空三\飞测公路\0218-4-Split-AT-ok刺点-AbsAT(2)ok.xml,feice-road,0218-4-Split-AT-ok刺点-AbsAT(2)ok,feice-road-problem-i66370-p2445360-o37465164-g5-c0,66370,2445360,37465164,5,0,141,45
C:\zuo\Projects\含控制点空三\飞测公路\0218-5-ATok-AbsATok.xml,feice-road,0218-5-ATok-AbsATok,feice-road-problem-i71255-p3059227-o37719363-g13-c0,71255,3059227,37719363,13,0,389,40
C:\zuo\Projects\含控制点空三\飞测公路\0218-7-AT-AbsAT(2)-ok.xml,feice-road,0218-7-AT-AbsAT(2)-ok,feice-road-problem-i65541-p2536973-o36845586-g18-c1,65541,2536973,36845586,18,1,526,48
C:\zuo\Projects\含控制点空三\飞测公路\0218-9-AbsAT(2)ok.xml,feice-road,0218-9-AbsAT(2)ok,feice-road-problem-i15149-p532090-o8544302-g10-c0,15149,532090,8544302,10,0,305,10
C:\zuo\Projects\含控制点空三\飞测公路\0219-3-AbsATok.xml,feice-road,0219-3-AbsATok,feice-road-problem-i92089-p3592465-o50838017-g9-c0,92089,3592465,50838017,9,0,222,105
C:\zuo\Projects\含控制点空三\飞测公路\0219-4-AbsATok.xml,feice-road,0219-4-AbsATok,feice-road-problem-i75474-p3029096-o37971647-g9-c0,75474,3029096,37971647,9,0,250,55
C:\zuo\Projects\含控制点空三\飞测公路\公路0202-Split-AT-AbsAT.xml,feice-road,公路0202-Split-AT-AbsAT,feice-road-problem-i76620-p2783761-o41288924-g25-c0,76620,2783761,41288924,25,0,613,35
C:\zuo\Projects\含控制点空三\飞测公路\公路0203-1-Split-ATok-AbsATok.xml,feice-road,公路0203-1-Split-ATok-AbsATok,feice-road-problem-i103498-p5912482-o40920319-g40-c0,103498,5912482,40920319,40,0,984,85
C:\zuo\Projects\含控制点空三\飞测公路\公路0203-2-Split-AT-AbsAT.xml,feice-road,公路0203-2-Split-AT-AbsAT,feice-road-problem-i114169-p3350283-o69759305-g33-c0,114169,3350283,69759305,33,0,813,70
