source_xml,area,source_name,dataset_name,valid_images,points,observations,gcps,checkpoints,gcp_observations,photogroups,source_software_vendor,source_software
C:\zuo\Projects\REL\2049921059141976065\REL_AT\AT.xml,rel,2049921059141976065,rel-problem-i1004-p48995-o388800-g0-c0,1004,48995,388800,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2050146340339449857\REL_AT\AT.xml,rel,2050146340339449857,rel-problem-i1075-p48819-o426145-g0-c0,1075,48819,426145,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2050490046502404096\REL_AT\AT.xml,rel,2050490046502404096,rel-problem-i1304-p95689-o388248-g0-c0,1304,95689,388248,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2050897330399346689\REL_AT\AT.xml,rel,2050897330399346689,rel-problem-i1252-p71493-o452353-g0-c0,1252,71493,452353,0,0,0,3,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2051264711055376385\REL_AT\AT.xml,rel,2051264711055376385,rel-problem-i2206-p61976-o1619019-g0-c0,2206,61976,1619019,0,0,0,6,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2051498668741099521\REL_AT\AT.xml,rel,2051498668741099521,rel-problem-i1544-p73387-o637225-g0-c0,1544,73387,637225,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2051515179933368321\REL_AT\AT.xml,rel,2051515179933368321,rel-problem-i1628-p81297-o729577-g0-c0,1628,81297,729577,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2051622062690140161\REL_AT\AT.xml,rel,2051622062690140161,rel-problem-i2360-p67975-o1717492-g0-c0,2360,67975,1717492,0,0,0,7,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2051648360363851777\REL_AT\AT.xml,rel,2051648360363851777,rel-problem-i1912-p125004-o663120-g0-c0,1912,125004,663120,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2051939795516522497\REL_AT\AT.xml,rel,2051939795516522497,rel-problem-i2904-p200835-o862660-g0-c0,2904,200835,862660,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2051986484038205441\REL_AT\AT.xml,rel,2051986484038205441,rel-problem-i2844-p187023-o907787-g0-c0,2844,187023,907787,0,0,0,16,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2052249440550387713\REL_AT\AT.xml,rel,2052249440550387713,rel-problem-i1246-p25608-o945385-g0-c0,1246,25608,945385,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2052767284425916417\REL_AT\AT.xml,rel,2052767284425916417,rel-problem-i1936-p135285-o733399-g0-c0,1936,135285,733399,0,0,0,3,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2052947617582678017\REL_AT\AT.xml,rel,2052947617582678017,rel-problem-i2330-p137520-o683235-g0-c0,2330,137520,683235,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053047936727646209\REL_AT\AT.xml,rel,2053047936727646209,rel-problem-i2426-p21676-o1199327-g0-c0,2426,21676,1199327,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053056136889761793\REL_AT\AT.xml,rel,2053056136889761793,rel-problem-i1048-p50666-o475108-g0-c0,1048,50666,475108,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053060023491231745\REL_AT\AT.xml,rel,2053060023491231745,rel-problem-i1112-p59311-o376782-g0-c0,1112,59311,376782,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053080783316320257\REL_AT\AT.xml,rel,2053080783316320257,rel-problem-i1426-p61091-o420024-g0-c0,1426,61091,420024,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053086569446768641\REL_AT\AT.xml,rel,2053086569446768641,rel-problem-i2331-p138070-o684482-g0-c0,2331,138070,684482,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053094889511452673\REL_AT\AT.xml,rel,2053094889511452673,rel-problem-i2105-p137136-o767285-g0-c0,2105,137136,767285,0,0,0,3,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053329827942891521\REL_AT\AT.xml,rel,2053329827942891521,rel-problem-i2487-p122983-o1177495-g0-c0,2487,122983,1177495,0,0,0,3,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053472231194886145\REL_AT\AT.xml,rel,2053472231194886145,rel-problem-i1275-p74116-o428915-g0-c0,1275,74116,428915,0,0,0,1,武汉大势智慧科技有限公司,云端地球
